has_gps_data,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,pp_id
X,20016574,Feeling Woozy,LRL,2025-12-12,2,USA,SOC, ,8.5, ,1 1/16M,D,2,1,1,1,0,1,1,0,0,0,0,0,0,200,200,400,0,550,1100,29,6,40885,20016574_LRL_2025-12-12_2
X,20016574,Feeling Woozy,AQU,2026-01-15,6,USA,SOC, ,8.0, ,1M,D,2,4,4,3,0,3,3,210,210,310,0,750,1375,250,150,10,0,150,125,69,6,62000,20016574_AQU_2026-01-15_6
 ,23014565,Feels So Right,TIM,2025-08-29,5,USA,MCL, ,6.5,A,6 1/2F,D,2,1,1,0,0,1,1,0,0,0,0,0,0,200,200,0,0,400,500,44,6,30940,23014565_TIM_2025-08-29_5
X,23014565,Feels So Right,LRL,2025-10-11,9,USA,STK, ,6.0, ,6F,D,13,4,5,0,0,7,11,210,360,0,0,610,1625,10,200,0,0,10,775,555,13,102040,23014565_LRL_2025-10-11_9
X,23014565,Feels So Right,LRL,2025-11-09,2,USA,CLM, ,6.0, ,6F,D,5,2,2,0,0,2,3,200,200,0,0,450,650,200,200,0,0,200,275,31,6,31350,23014565_LRL_2025-11-09_2
X,23014565,Feels So Right,LRL,2025-12-13,5,USA,CLM, ,8.0, ,1M,D,6,1,1,1,0,3,4,0,0,0,0,500,1150,50,50,10,0,150,75,35,7,45300,23014565_LRL_2025-12-13_5
X,23014565,Feels So Right,LRL,2025-12-28,5,USA,CLM, ,6.0, ,6F,D,5,2,4,0,0,5,5,200,500,0,0,610,1305,50,150,0,0,400,375,107,7,44700,23014565_LRL_2025-12-28_5
 ,19010112,Fenwick,FAI,2025-08-30,3,USA,STR, ,13.0,A,1 5/8M,T,7,4,4,5,6,2,2,900,550,400,410,10,175,350,200,50,100,50,25,66,8,20000,19010112_FAI_2025-08-30_3
 ,19010112,Fenwick,GRM,2025-10-25,7,USA,MOC, ,20.0,A,2 1/2M,T,6,3,3,3,7,7,7,200,350,250,1710,9999,9999,1300,200,50,0,9999,9999,55,7,30000,19010112_GRM_2025-10-25_7
 ,19010112,Fenwick,AIK,2025-11-22,3,USA,MSW, ,17.0, ,2 1/8M,T,5,7,7,8,9,9,9,960,1650,1380,9999,9999,9999,150,200,10,9999,9999,9999,0,10,30000,19010112_AIK_2025-11-22_3
X,23004974,Fiesta La Luna,LRL,2025-10-17,6,USA,MCL, ,6.0, ,6F,D,9,1,2,0,0,3,4,0,100,0,0,350,875,10,100,0,0,300,350,268,10,32900,23004974_LRL_2025-10-17_6
X,23004974,Fiesta La Luna,LRL,2025-11-09,5,USA,MCL, ,6.0, ,6F,D,7,2,2,0,0,1,1,100,100,0,0,0,0,250,600,0,0,50,775,37,7,27760,23004974_LRL_2025-11-09_5
X,23004974,Fiesta La Luna,LRL,2025-12-05,4,USA,CLM, ,5.5, ,5 1/2F,D,4,4,4,0,0,4,4,260,360,0,0,660,1375,0,0,0,0,0,0,52,4,41600,23004974_LRL_2025-12-05_4
 ,20002421,Fightertown,PEN,2025-10-22,6,USA,CLM, ,6.0, ,6F,D,6,3,3,0,0,3,4,100,150,0,0,250,250,200,150,0,0,150,275,59,8,22000,20002421_PEN_2025-10-22_6
 ,20002421,Fightertown,PEN,2025-11-13,8,USA,CLM, ,6.0, ,6F,D,2,5,5,0,0,6,6,300,650,0,0,1060,725,400,100,0,0,0,0,36,6,22000,20002421_PEN_2025-11-13_8
 ,20002421,Fightertown,PEN,2025-11-28,2,USA,CLM, ,8.0, ,1M,D,7,3,3,3,0,3,4,250,250,110,0,200,555,200,300,200,0,10,550,39,8,14000,20002421_PEN_2025-11-28_2
 ,22018734,Final Offer,CT ,2024-11-27,3,USA,MSW, ,4.5, ,4 1/2F,D,4,2,0,0,0,1,2,10,0,0,0,0,100,150,0,0,0,10,350,65,8,26500,22018734_CT_2024-11-27_3
 ,22018734,Final Offer,CT ,2024-12-11,3,USA,MSW, ,6.5, ,6 1/2F,D,8,2,1,0,0,2,3,100,0,0,0,100,575,150,10,0,0,200,175,13,9,26500,22018734_CT_2024-12-11_3
X,22018734,Final Offer,LRL,2025-11-30,6,USA,MCL, ,6.0, ,6F,D,6,3,3,0,0,5,9,350,350,0,0,500,1780,300,50,0,0,100,1875,52,10,25050,22018734_LRL_2025-11-30_6
X,19004608,Find Faith,LRL,2025-10-17,8,USA,SOC, ,6.0, ,6F,D,7,4,5,0,0,6,6,360,760,0,0,1110,1600,10,100,0,0,350,10,423,7,30500,19004608_LRL_2025-10-17_8
X,19004608,Find Faith,LRL,2025-11-14,1,USA,CLM, ,6.0, ,6F,D,5,2,2,0,0,2,3,10,50,0,0,150,310,50,10,0,0,150,200,191,9,23890,19004608_LRL_2025-11-14_1
X,19004608,Find Faith,LRL,2025-12-05,6,USA,CLM, ,5.5, ,5 1/2F,D,5,3,3,0,0,1,1,460,310,0,0,0,0,200,500,0,0,50,100,93,9,25870,19004608_LRL_2025-12-05_6
X,19004608,Find Faith,LRL,2026-01-16,10,USA,CLM, ,7.0, ,7F,D,7,5,3,0,0,6,6,300,300,0,0,850,1350,50,10,0,0,800,775,80,7,20600,19004608_LRL_2026-01-16_10
X,23014784,Finny,LRL,2025-10-25,5,USA,MCL, ,5.5, ,5 1/2F,D,10,8,6,0,0,6,4,570,370,0,0,660,350,50,50,0,0,10,25,480,11,29760,23014784_LRL_2025-10-25_5
X,23014784,Finny,LRL,2025-11-08,7,USA,MSW, ,6.0, ,6F,D,9,7,7,0,0,6,6,1010,1110,0,0,1110,2075,50,10,0,0,150,325,637,10,49000,23014784_LRL_2025-11-08_7
X,23014784,Finny,LRL,2025-11-28,9,USA,MCL, ,6.0, ,6F,D,7,3,1,0,0,1,2,20,0,0,0,0,250,100,200,0,0,10,625,104,7,31850,23014784_LRL_2025-11-28_9
