target_race_id,registration_number,starter_id,last1_gps_num_gates,last1_gps_finish_pos,last1_gps_avg_section_speed,last1_gps_early_section_speed,last1_gps_late_section_speed,last1_gps_speed_decay,last1_gps_avg_stride_length,last1_gps_avg_stride_freq,last1_gps_total_distance_ran,last1_gps_final_cum_distance,last1_gps_avg_time_behind,last1_gps_final_time_behind,last1_gps_avg_distance_behind,last1_gps_final_distance_behind,last1_gps_best_position,last1_gps_worst_position,last1_gps_pos_gain,avg3_gps_num_gates,avg3_gps_finish_pos,avg3_gps_avg_section_speed,avg3_gps_early_section_speed,avg3_gps_late_section_speed,avg3_gps_speed_decay,avg3_gps_avg_stride_length,avg3_gps_avg_stride_freq,avg3_gps_total_distance_ran,avg3_gps_final_cum_distance,avg3_gps_avg_time_behind,avg3_gps_final_time_behind,avg3_gps_avg_distance_behind,avg3_gps_final_distance_behind,avg3_gps_best_position,avg3_gps_worst_position,avg3_gps_pos_gain,std3_gps_num_gates,std3_gps_finish_pos,std3_gps_avg_section_speed,std3_gps_early_section_speed,std3_gps_late_section_speed,std3_gps_speed_decay,std3_gps_avg_stride_length,std3_gps_avg_stride_freq,std3_gps_total_distance_ran,std3_gps_final_cum_distance,std3_gps_avg_time_behind,std3_gps_final_time_behind,std3_gps_avg_distance_behind,std3_gps_final_distance_behind,std3_gps_best_position,std3_gps_worst_position,std3_gps_pos_gain,num_prior_gps_races,has_any_prior_gps
LRL_2025-12-12_1,22010064,LRL_2025-12-12_1_22010064,11.0,9.0,17.06126455258199,17.34714811986917,16.147311392548946,1.1998367273202248,7.166531770025528,2.381501857462841,1120.3,1120.3,0.9725454545454544,1.661,16.472727272727273,25.3,6.0,9.0,-1.0,14.666666666666666,6.666666666666667,16.55009966344736,16.64135001446773,16.293063667870005,0.34828634659772045,7.175522094354835,2.307308821906414,1486.2666666666667,1486.2666666666664,0.6588484848484848,1.434,10.915909090909091,22.133333333333336,3.0,7.333333333333333,-3.0,3.214550253664318,2.0816659994661326,0.44929582989456357,0.761638431517036,0.4999961160734427,1.1933463679394491,0.025390963115709233,0.06431246529113284,321.76777858159346,321.76777858159346,0.33794280817587474,0.43184140607403554,5.8139984072356645,6.73374586195034,2.6457513110645907,1.5275252316519468,2.0,3.0,1
LRL_2025-12-12_1,22011846,LRL_2025-12-12_1_22011846,16.0,4.0,16.3757957916323,16.245828026443817,16.27456338370323,-0.02873535725941423,6.903549377342342,2.3732309744267317,1617.2,1617.1999999999998,1.3139374999999998,0.909,21.63125,13.7,4.0,7.0,1.0,17.0,5.666666666666667,16.386256558096242,16.24082762906195,16.342468669423422,-0.10164104036147255,6.908211812047175,2.3741921924245606,1719.0333333333335,1719.0333333333328,0.669948665577342,1.0730000000000002,10.966843681917211,16.633333333333333,2.3333333333333335,6.666666666666667,-2.6666666666666665,1.0,2.886751345948129,0.04220021273274937,0.29094530725060014,0.40988521616698526,0.6994133489596883,0.014995645520292452,0.0017632701097288434,100.67086635831295,100.67086635831298,0.5789559291284518,0.3247091005808122,9.571280860226189,5.430776494511012,1.5275252316519465,2.516611478423583,4.725815626252609,3.0,1
LRL_2025-12-12_1,21017739,LRL_2025-12-12_1_21017739,12.0,5.0,16.764892114898938,18.18853381547287,14.979502436287492,3.2090313791853777,7.018119570467284,2.386057042930162,1218.1999999999998,1218.1999999999998,0.7724166666666665,2.55,11.825000000000001,36.3,1.0,6.0,-4.0,12.0,5.5,16.495567993260654,17.559528604786106,15.079777563452435,2.479751041333672,7.030340467119304,2.344717663377977,1214.1499999999999,1214.1499999999999,1.049958333333333,2.5705,16.504166666666666,36.8,3.5,7.0,-1.0,0.0,0.7071067811865476,0.38088182549508304,0.8895476997565669,0.14181044480534905,1.0313581445619153,0.01728295778964707,0.05846271122278907,5.72756492761097,5.72756492761097,0.3925031891236327,0.02899137802864871,6.617340960604106,0.7071067811865476,3.5355339059327378,1.4142135623730951,4.242640687119285,2.0,1
LRL_2025-12-12_1,19002714,LRL_2025-12-12_1_19002714,16.0,8.0,16.19611722755679,16.805001792068275,15.79278010386586,1.0122216882024144,6.807145063034716,2.3793983166808736,1612.3,1612.2999999999997,0.27199999999999996,1.803,4.4125,28.2,1.0,8.0,-6.0,14.666666666666666,6.666666666666667,16.263490099850113,16.607410198323592,15.368926294261392,1.2384839040621998,6.783790711432334,2.394705702577897,1478.2666666666664,1478.2666666666664,0.926217468805704,3.4036666666666666,14.59311497326203,48.1,3.0,7.0,-3.3333333333333335,3.2145502536643185,1.5275252316519465,1.0065643739553272,0.7026112465882991,1.6015540509971473,0.8990793565480254,0.2238385052260175,0.07231155609451453,325.54711384580474,325.5471138458047,0.6230218171611592,2.8656001698306297,9.167185023125292,35.77471173888058,2.0,1.7320508075688772,2.3094010767585034,3.0,1
LRL_2025-12-12_1,22004844,LRL_2025-12-12_1_22004844,12.0,1.0,16.528415253374643,17.12822172152274,15.584834230827813,1.5433874906949256,6.7186283379126905,2.459140653670922,1208.3999999999999,1208.4,0.17658333333333331,0.0,2.9583333333333335,0.0,1.0,3.0,2.0,11.666666666666666,2.3333333333333335,16.644545486785645,17.282870330186995,15.415295765160927,1.8675745650260673,6.707160865525478,2.4808376673118215,1177.6333333333332,1177.6333333333334,0.26489141414141415,0.308,4.396969696969697,4.266666666666667,1.6666666666666667,4.333333333333333,1.6666666666666667,0.5773502691896258,1.1547005383792517,0.22837470511887903,0.1620749987305126,0.44165094760128865,0.5802500289666949,0.10462659459742063,0.019748744703688186,58.02881468144361,58.02881468144365,0.07881286183642792,0.29895317359078155,1.300998459896787,4.067349669420289,0.5773502691896258,1.1547005383792515,0.5773502691896257,3.0,1
LRL_2025-12-12_1,22002156,LRL_2025-12-12_1_22002156,11.0,7.0,17.009480151977325,17.2051121178823,16.48692715819966,0.7181849596826417,7.051672023121847,2.4142311804966043,1109.7,1109.7,0.9290909090909092,1.173,15.863636363636367,17.9,7.0,9.0,0.0,12.666666666666666,5.0,16.922885380597908,17.0415501593979,16.664845579519252,0.376704579878646,7.067202530709669,2.3964051377675397,1280.5333333333335,1280.5333333333333,0.6612102272727273,0.7126666666666667,11.179356060606061,10.933333333333332,3.6666666666666665,7.333333333333333,0.0,2.8867513459481287,3.4641016151377544,0.5335505807002562,0.5804785527050286,0.40166827669935046,0.352586471552283,0.10149937467162744,0.04323931449495888,290.9696261353293,290.9696261353291,0.23350493593750815,0.6258884352129646,4.0584517470110235,9.586622623913664,3.055050463303893,2.081665999466133,4.0,3.0,1
LRL_2025-12-12_1,22004645,LRL_2025-12-12_1_22004645,16.0,5.0,16.47823357543727,17.4822954154876,15.280510654914,2.2017847605735987,6.837334978790091,2.4096887088997514,1612.6999999999998,1612.6999999999998,0.6523125000000001,1.046,10.462499999999999,14.5,4.0,7.0,-1.0,16.0,5.0,16.47823357543727,17.4822954154876,15.280510654914,2.2017847605735987,6.837334978790091,2.4096887088997514,1612.6999999999998,1612.6999999999998,0.6523125000000001,1.046,10.462499999999999,14.5,4.0,7.0,-1.0,,,,,,,,,,,,,,,,,,1.0,1
LRL_2025-12-12_1,21003278,LRL_2025-12-12_1_21003278,12.0,7.0,16.517943735073008,17.002249727404774,15.575338923178057,1.4269108042267167,6.971674924021737,2.3703939801943448,1209.6,1209.6000000000001,0.9253333333333332,1.799,15.158333333333333,26.8,6.0,7.0,-1.0,13.333333333333334,6.333333333333333,16.38872781989704,17.016408725706068,15.42267645653009,1.5937322691759785,6.839680897592178,2.3964940256055054,1343.7,1343.6999999999998,0.7894930555555555,2.0556666666666668,12.64722222222222,29.933333333333334,3.6666666666666665,6.666666666666667,-2.3333333333333335,2.3094010767585034,1.1547005383792517,0.15895086454561083,0.06874253354320353,0.23524785647490984,0.1923182897317665,0.13012954634567916,0.02303985548699955,233.2212897657502,233.22128976574982,0.40473456254303036,0.6071518206621251,6.822538899635312,9.976138197385467,2.516611478423583,1.5275252316519465,1.5275252316519468,3.0,1
LRL_2025-12-12_2,20020224,LRL_2025-12-12_2_20020224,16.0,1.0,16.499647711015882,17.411688626387793,15.388745145410576,2.022943480977217,7.482981095956652,2.203743645525423,1614.8,1614.7999999999997,0.16018749999999998,0.0,2.775,0.0,1.0,6.0,5.0,16.666666666666668,4.666666666666667,16.657869541466223,17.035700098793374,16.032562701387914,1.0031373974054585,7.555453221055416,2.2045705100170627,1683.1333333333332,1683.1333333333332,0.4953174019607843,0.6273333333333334,8.305392156862746,9.700000000000001,3.0,6.333333333333333,1.0,0.5773502691896263,4.041451884327381,0.1396260575715773,0.47269013753290223,0.6940702912701499,1.162558237635334,0.0662634506114704,0.009310998537654668,59.179754421029166,59.17975442102924,0.30024146046966155,0.5617911830327469,4.989882569411501,8.58079250419214,2.6457513110645907,2.516611478423583,3.605551275463989,3.0,1
LRL_2025-12-12_2,20016574,LRL_2025-12-12_2_20016574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
